flight_id,cancellation_code_a,cancellation_code_b,cancellation_code_c,cancellation_code_d,cancellation_code_e,mkt_carrier_fl_num,fl_date,fl_month,day_of_month,day_of_week,dep_time_blk,arr_time_blk,crs_elapsed_time,distance
0,0,0,0,0,1,5888,1/1/2020,1,1,3,18,19,95,363
1,0,0,0,0,1,6276,1/1/2020,1,1,3,11,13,90,363
2,0,0,0,0,1,4598,1/1/2020,1,1,3,20,21,70,333
3,0,0,0,0,1,4761,1/1/2020,1,1,3,13,14,75,333
4,0,0,0,0,1,5162,1/1/2020,1,1,3,9,10,80,333
5,0,0,0,0,1,5684,1/1/2020,1,1,3,6,7,75,333
6,0,0,0,0,1,6152,1/1/2020,1,1,3,16,17,80,333
7,0,0,0,0,1,1679,1/1/2020,1,1,3,15,16,85,390
8,0,0,0,0,1,3479,1/1/2020,1,1,3,12,13,85,390
9,0,0,0,0,1,4069,1/1/2020,1,1,3,7,9,80,390
10,0,0,0,0,1,4905,1/1/2020,1,1,3,10,11,90,390
11,0,0,0,0,1,4918,1/1/2020,1,1,3,20,21,75,390
12,0,0,0,0,1,5144,1/1/2020,1,1,3,22,0,75,390
13,0,0,0,0,1,5722,1/1/2020,1,1,3,18,19,80,390
14,0,0,0,0,1,3719,1/1/2020,1,1,3,11,12,65,159
15,0,0,0,0,1,4863,1/1/2020,1,1,3,6,7,60,159
16,0,0,0,0,1,4924,1/1/2020,1,1,3,20,21,60,159
17,0,0,0,0,1,5321,1/1/2020,1,1,3,17,18,70,159
18,0,0,0,0,1,4618,1/1/2020,1,1,3,10,12,125,655
19,0,0,0,0,1,5992,1/1/2020,1,1,3,16,18,140,704
20,0,0,0,0,1,1765,1/1/2020,1,1,3,13,14,110,545
21,0,0,0,0,1,4887,1/1/2020,1,1,3,7,9,135,883
22,0,0,0,0,1,4917,1/1/2020,1,1,3,17,20,140,883
23,0,0,0,0,1,5068,1/1/2020,1,1,3,11,13,140,883
24,0,0,0,0,1,745,1/1/2020,1,1,3,7,10,155,1052
25,0,0,0,0,1,3316,1/1/2020,1,1,3,19,22,160,1052
26,0,0,0,0,1,1537,1/1/2020,1,1,3,19,21,130,817
27,0,0,0,0,1,6316,1/1/2020,1,1,3,11,17,215,1626
28,0,0,0,0,1,1899,1/1/2020,1,1,3,9,12,140,991
29,0,0,0,0,1,1970,1/1/2020,1,1,3,13,16,140,991
30,0,0,0,0,1,3942,1/1/2020,1,1,3,15,18,140,991
31,0,0,0,0,1,4911,1/1/2020,1,1,3,20,23,135,991
32,0,0,0,0,1,5390,1/1/2020,1,1,3,6,9,140,991
33,0,0,0,0,1,4495,1/1/2020,1,1,3,14,16,130,763
34,0,0,0,0,1,5236,1/1/2020,1,1,3,10,12,120,763
35,1,0,0,0,0,6173,1/1/2020,1,1,3,7,9,125,763
36,0,0,0,0,1,1997,1/1/2020,1,1,3,18,21,145,834
37,0,0,0,0,1,6117,1/1/2020,1,1,3,6,8,145,834
38,0,0,0,0,1,3780,1/1/2020,1,1,3,0,11,225,1751
39,0,0,0,0,1,6215,1/1/2020,1,1,3,14,20,235,1751
40,0,0,0,0,1,3735,1/1/2020,1,1,3,8,9,105,543
41,0,0,0,0,1,4230,1/1/2020,1,1,3,16,18,110,543
42,0,0,0,0,1,5263,1/1/2020,1,1,3,20,22,105,543
43,0,0,0,0,1,5845,1/1/2020,1,1,3,12,13,110,543
44,0,0,0,0,1,4802,1/1/2020,1,1,3,11,13,130,838
45,0,0,0,0,1,4093,1/1/2020,1,1,3,10,14,150,1009
46,0,0,0,0,1,5830,1/1/2020,1,1,3,6,9,150,1009
47,0,0,0,0,1,4561,1/1/2020,1,1,3,20,23,145,933
48,0,0,0,0,1,5377,1/1/2020,1,1,3,13,15,145,933
49,0,0,0,0,1,2068,1/1/2020,1,1,3,13,15,110,569
