,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER
0,WN,WN
1,WN,WN
2,WN,WN
3,WN,WN
4,WN,WN
5,WN,WN
6,WN,WN
7,WN,WN
8,WN,WN
9,WN,WN
10,WN,WN
11,WN,WN
12,WN,WN
13,WN,WN
14,WN,WN
15,WN,WN
16,WN,WN
17,WN,WN
18,WN,WN
19,WN,WN
20,WN,WN
21,WN,WN
22,WN,WN
23,WN,WN
24,WN,WN
25,WN,WN
26,WN,WN
27,WN,WN
28,WN,WN
29,WN,WN
30,WN,WN
31,WN,WN
32,WN,WN
33,WN,WN
34,WN,WN
35,WN,WN
36,WN,WN
37,WN,WN
38,WN,WN
39,WN,WN
40,WN,WN
41,WN,WN
42,WN,WN
43,WN,WN
44,WN,WN
45,WN,WN
46,WN,WN
47,WN,WN
48,WN,WN
49,WN,WN
