,Total Flights,Delayed Flights,% of Flights Delayed
Southwest Airlines,531577,32911,6.191200898458737
Hawaiian Airlines,27661,2304,8.329416868515239
Delta Air Lines,551432,50320,9.125331863221575
United Airlines,499418,57200,11.453331678073276
American Airlines,735559,86485,11.757724397363093
Alaska Airlines,145080,17233,11.87827405569341
Spirit Airlines,65918,7973,12.09533056221366
JetBlue,88908,10889,12.247491789265307
Frontier Airlines,47134,5778,12.258666779819238
Allegiant Air,53160,7133,13.417983446200152
